Node1 ID,Value (area sq km),Infested?,Node2 ID,Value (area sq km),Infested,Blocking Cost,Node1 length,Fancy Constant,Node1 to Node2 Probability
r1,852,1,r2,157,1,0,426,10,0.007470691048
r2,157,1,r3,7.2,1,0,157,10,0.02024716396
r3,7.2,1,r4,17.9298,1,0,24,10,0.1256659164
r4,17.9298,1,r5,0.894,0,"5,000,000",59.766,10,0.05277053298
r5,0.894,0,r6,10.65168,0,"5,000,000",2.98,10,0.4078107968
r6,10.65168,0,r7,4.8,0,"5,000,000",35.5056,10,0.08738692403
r4,17.9298,0,r8,48.9,0,"5,000,000",59.766,10,0.05277053298
r8,48.9,0,r30,16.7,0,"5,000,000",163,10,0.01950376906
r8,48.9,0,r9,2.7,0,"5,000,000",163,10,0.01950376906
r9,2.7,0,r10,26.7,0,"5,000,000",9,10,0.2667377084
r9,2.7,0,r29,13.45,0,"5,000,000",9,10,0.2667377084
r16,22,0,r2,157,1,"5,000,000",220,10,0.0144586789
r17,18,0,r3,7.2,1,"5,000,000",180,10,0.01766572289
r18,16.581,0,r5,0.894,0,"5,000,000",165.81,10,0.01917404241
r18,16.581,0,l27,40.853,0,"5,000,000",165.81,10,0.01917404241
r18,16.581,0,r19,1.123,0,"5,000,000",165.81,10,0.01917404241
r19,1.123,0,r26,12.265,0,"5,000,000",11.23,10,0.2315787108
r19,1.123,0,r20,6.396,0,"5,000,000",11.23,10,0.2315787108
r20,6.396,0,r25,10.225,0,"5,000,000",63.96,10,0.04936735793
r20,6.396,0,r21,8.701,0,"5,000,000",63.96,10,0.04936735793
r21,8.701,0,l23,37.716,0,"5,000,000",87.01,10,0.03642333041
l23,37.716,0,r22,2.677,0,"5,000,000",3.464877439,10,0.3938301437
r22,2.677,0,l24,48.166,0,"5,000,000",26.77,10,0.1137961063
r6,10.65168,0,l28,58.79,0,"5,000,000",35.5056,10,0.08738692403
r7,4.8,0,r13,3.99,0,"5,000,000",16,10,0.1778076845
r13,3.99,0,r14,25.34,0,"5,000,000",39.9,10,0.07816681307
r13,3.99,0,r15,18.67,0,"5,000,000",39.9,10,0.07816681307
r7,4.8,0,r11,45,0,"10,000,000",16,10,0.1778076845
r11,45,0,l12,518.67,0,10000000,225,10,0.01413780211
r2,157,1,r1,852,1,0,157,10,0.02024716396
r3,7.2,1,r2,157,1,0,24,10,0.1256659164
r4,17.9298,1,r3,7.2,1,0,59.766,10,0.05277053298
r5,0.894,0,r4,17.9298,1,"5,000,000",2.98,10,0.4078107968
r6,10.65168,0,r5,0.894,0,"5,000,000",35.5056,10,0.08738692403
r7,4.8,0,r6,10.65168,0,"5,000,000",16,10,0.1778076845
r8,48.9,0,r4,17.9298,0,"5,000,000",163,10,0.01950376906
r30,16.7,0,r8,48.9,0,"5,000,000",167,10,0.01903773976
r9,2.7,0,r8,48.9,0,"5,000,000",9,10,0.2667377084
r10,26.7,0,r9,2.7,0,"5,000,000",89,10,0.03561577789
r29,13.45,0,r9,2.7,0,"5,000,000",134.5,10,0.02362269902
r2,157,1,r16,22,0,"5,000,000",157,10,0.02024716396
r3,7.2,1,r17,18,0,"5,000,000",24,10,0.1256659164
r5,0.894,0,r18,16.581,0,"5,000,000",2.98,10,0.4078107968
l27,40.853,0,r18,16.581,0,"5,000,000",3.606093978,10,0.3898345537
r19,1.123,0,r18,16.581,0,"5,000,000",11.23,10,0.2315787108
r26,12.265,0,r19,1.123,0,"5,000,000",245.3,10,0.01296916954
r20,6.396,0,r19,1.123,0,"5,000,000",63.96,10,0.04936735793
r25,10.225,0,r20,6.396,0,"5,000,000",204.5,10,0.01555288689
r21,8.701,0,r20,6.396,0,"5,000,000",87.01,10,0.03642333041
l23,37.716,0,r21,8.701,0,"5,000,000",3.464877439,10,0.3938301437
r22,2.677,0,l23,37.716,0,"5,000,000",26.77,10,0.1137961063
l24,48.166,0,r22,2.677,0,"5,000,000",3.915573263,10,0.3812044939
l28,58.76,0,r6,10.65168,0,"5,000,000",4.324799292,10,0.3700693686
r13,3.99,0,r7,4.8,0,"5,000,000",39.9,10,0.07816681307
r14,25.34,0,r13,3.99,0,"5,000,000",253.4,10,0.01255504342
r15,18.67,0,r13,3.99,0,"5,000,000",186.7,10,0.01703299476
r11,45,0,r7,4.8,0,"5,000,000",225,10,0.01413780211
l12,518.67,0,r11,45,0,"5,000,000",12.84903843,10,0.2105138496